,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
198,Oregon,1916,2024,107,1155,640,470,34,.574,38,17,21,0,.447,5.81,3.31,21,14,record adjusted to 641-469-34 by NCAA
199,Oregon State,1916,2024,107,1134,497,597,36,.456,18,10,8,0,.556,1.74,3.48,11,5,record adjusted to 501-593-36 by NCAA
200,Pacific,1943,1995,47,498,209,280,9,.429,2,1,1,0,.500,-7.80,-5.74,1,0,record adjusted to 211-278-9 by NCAA
201,Penn State,1889,2024,131,1362,921,404,37,.690,56,33,21,2,.607,9.40,2.34,46,4,
202,Pennsylvania,1876,1981,105,1027,618,369,40,.621,1,0,1,0,.000,3.33,-0.42,7,1,
203,Phillips,1920,1921,2,19,7,8,4,.474,0,0,0,0,,-6.92,-5.01,0,0,
204,Pitt,1905,2024,120,1279,719,514,37,.581,38,15,23,0,.395,7.12,4.09,21,3,record adjusted to 720-513-37 by NCAA
205,Portland,1946,1947,2,19,3,15,1,.184,0,0,0,0,,-21.01,-10.83,0,0,
206,Prairie View A&M,1977,1977,1,11,3,8,0,.273,0,0,0,0,,-19.35,-10.35,0,0,
207,Presbyterian,1915,1945,16,127,58,63,6,.480,0,0,0,0,,-5.56,-4.99,0,0,
208,Princeton,1869,1981,109,918,637,233,48,.720,0,0,0,0,,6.03,-1.29,4,5,
209,Purdue,1892,2024,133,1291,631,604,48,.511,21,11,10,0,.524,5.48,4.58,16,8,record adjusted to 632-603-48 by NCAA
210,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
211,Randolph Field,1944,1944,1,12,12,0,0,1.000,0,0,0,0,,16.14,-5.11,1,0,
212,Regis (CO),1924,1930,3,25,9,16,0,.360,0,0,0,0,,-12.84,-8.99,0,0,
213,Rhodes,1939,1939,1,9,3,5,1,.389,0,0,0,0,,-5.39,-2.50,0,0,
214,Rice,1914,2024,111,1178,488,659,32,.427,14,7,7,0,.500,-0.63,2.26,7,8,record adjusted to 489-658-32 by NCAA
215,Richmond,1909,1983,58,565,233,305,27,.436,2,1,1,0,.500,-8.46,-6.07,0,4,
216,Rutgers,1869,2024,110,1051,506,522,22,.492,13,7,6,0,.538,-3.03,-2.60,3,1,record adjusted to 507-521-22 by NCAA
217,Saint Louis,1907,1949,18,173,82,78,13,.512,0,0,0,0,,-6.36,-6.99,0,0,
218,Saint Mary's (CA),1930,1950,20,182,101,70,11,.585,3,1,2,0,.333,2.63,0.03,1,0,
219,Saint Mary's (CA) Pre-Flight,1942,1944,3,26,13,11,2,.538,0,0,0,0,,2.43,-1.77,1,0,
220,Sam Houston,2023,2024,2,25,13,12,0,.520,1,1,0,,1.000,-6.39,-6.21,0,0,
221,Samford,1907,1924,11,95,27,57,11,.342,0,0,0,0,,-8.87,-2.41,0,0,
222,San Diego State,1969,2024,56,664,363,293,8,.553,16,7,9,0,.438,-0.33,-2.08,3,9,record adjusted to 365-291-8 by NCAA
223,San Francisco,1932,1951,18,163,77,76,10,.503,0,0,0,0,,-0.90,-2.32,1,0,
224,San Jose State,1950,2024,75,839,371,450,14,.453,12,5,7,0,.417,-5.48,-3.50,2,9,record adjusted to 369-453-13 by NCAA
225,Santa Clara,1932,1952,18,163,98,54,11,.635,3,3,0,0,1.000,6.34,2.58,6,0,
226,Second Air Force,1944,1944,1,15,10,4,1,.700,0,0,0,0,,12.44,-1.42,1,0,
227,Sewanee,1902,1941,40,339,161,155,23,.509,0,0,0,0,,0.56,0.28,0,0,
228,Simpson,1902,1903,2,10,3,7,0,.300,0,0,0,0,,-5.53,1.87,0,0,
229,SMU,1916,2024,107,1163,545,564,54,.492,20,7,12,1,.375,2.23,2.50,13,11,record adjusted to 541-558-54 by NCAA
230,South Alabama,2012,2024,13,161,67,94,0,.416,5,2,3,0,.400,-7.06,-4.39,0,0,
231,South Carolina,1903,2024,117,1243,610,584,41,.511,26,10,16,0,.385,2.25,1.90,11,1,record adjusted to 611-583-41 by NCAA
232,South Florida,2000,2024,25,302,155,147,0,.513,12,8,4,0,.667,-1.36,-1.85,2,0,
233,Southern,1977,1977,1,11,3,7,1,.318,0,0,0,0,,-15.39,-9.12,0,0,
234,Southern Illinois,1972,1985,14,156,68,85,3,.446,0,0,0,0,,-11.97,-9.54,0,0,
235,Southern Mississippi,1963,2024,62,717,381,329,6,.536,23,12,11,0,.522,-0.66,-1.99,3,5,record adjusted to 383-327-6 by NCAA
236,Southwestern (TX),1910,1921,12,78,23,49,6,.333,0,0,0,0,,-7.04,-1.44,0,0,
237,Spring Hill,1919,1922,3,23,11,11,1,.500,0,0,0,0,,-3.17,-2.11,0,0,
238,Springfield,1891,1892,2,21,9,11,1,.452,0,0,0,0,,-0.79,0.43,0,0,
239,Stanford,1918,2024,104,1125,599,488,34,.550,29,15,13,1,.534,6.33,4.87,20,14,
240,Stevens,1872,1891,19,123,36,74,13,.346,0,0,0,0,,-4.24,-0.35,0,0,
241,Swarthmore,1888,1912,8,65,40,24,1,.623,0,0,0,0,,3.68,-0.98,0,0,
